,File name,Net string,Traces
10,BPI Challenge 2017 - Offer log.3c678482-c861-4e6e-bd50-5c4bc7161b30.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (mail and online)'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Cancelled') ]
arcs: [ (n4, 'O_Sent (mail and online)')->n2, (n5, 'O_Create Offer')->n3, (n6, 'O_Created')->n1, n1->(n7, 'O_Cancelled'), n2->(n7, 'O_Cancelled'), n3->(n6, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Cancelled'], ['O_Sent (mail and online)', 'O_Create Offer', 'O_Created', 'O_Cancelled'], ['O_Create Offer', 'O_Sent (mail and online)', 'O_Created', 'O_Cancelled']]"
11,BPI Challenge 2017 - Offer log.4fdfad6b-461a-4126-b10f-02824a424409.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Sent (online only)'), (n4, 'O_Created'), (n5, 'O_Cancelled') ]
arcs: [ (n4, 'O_Created')->n1, (n4, 'O_Created')->n2, n1->(n5, 'O_Cancelled'), n2->(n3, 'O_Sent (online only)') ], [], [])","[['O_Created', 'O_Cancelled', 'O_Sent (online only)'], ['O_Created', 'O_Sent (online only)', 'O_Cancelled']]"
12,BPI Challenge 2017 - Offer log.f64e042d-a929-4b05-bdb0-0f1274f9cd5b.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Cancelled') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n1, (n7, 'O_Create Offer')->n2, (n7, 'O_Create Offer')->n3, n1->(n5, 'O_Returned'), n2->(n5, 'O_Returned'), n3->(n6, 'O_Sent (mail and online)'), n4->(n8, 'O_Cancelled') ], [], [])","[['O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled']]"
13,BPI Challenge 2017 - Offer log.0f65fe3d-7b2b-4f69-b9dc-7d816989468f.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Accepted'), (n6, 'O_Returned'), (n7, 'O_Sent (mail and online)'), (n8, 'O_Create Offer'), (n9, 'O_Created') ]
arcs: [ (n7, 'O_Sent (mail and online)')->n2, (n7, 'O_Sent (mail and online)')->n3, (n8, 'O_Create Offer')->n4, (n8, 'O_Create Offer')->n5, (n9, 'O_Created')->n1, n1->(n7, 'O_Sent (mail and online)'), n2->(n6, 'O_Returned'), n3->(n10, 'O_Accepted'), n4->(n9, 'O_Created'), n5->(n7, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Accepted', 'O_Returned'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted']]"
14,BPI Challenge 2017 - Offer log.59d4f9c1-e694-418d-9861-dd92bffa4f26.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (online only)'), (n6, 'O_Returned'), (n7, 'O_Create Offer'), (n8, 'O_Refused'), (n9, 'O_Created') ]
arcs: [ (n5, 'O_Sent (online only)')->n2, (n7, 'O_Create Offer')->n3, (n9, 'O_Created')->n1, (n9, 'O_Created')->n4, n1->(n5, 'O_Sent (online only)'), n2->(n6, 'O_Returned'), n3->(n9, 'O_Created'), n4->(n8, 'O_Refused') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Refused', 'O_Sent (online only)', 'O_Returned'], ['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Refused', 'O_Returned'], ['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Refused']]"
15,BPI Challenge 2017 - Offer log.dc1d2f5e-ff2a-49a7-8b96-2bb238a26133.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (online only)'), (n6, 'O_Returned'), (n7, 'O_Create Offer'), (n8, 'O_Refused'), (n9, 'O_Created') ]
arcs: [ (n5, 'O_Sent (online only)')->n2, (n6, 'O_Returned')->n3, (n7, 'O_Create Offer')->n4, (n9, 'O_Created')->n1, n1->(n6, 'O_Returned'), n2->(n6, 'O_Returned'), n3->(n8, 'O_Refused'), n4->(n5, 'O_Sent (online only)') ], [], [])","[['O_Created', 'O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Refused'], ['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Refused'], ['O_Create Offer', 'O_Sent (online only)', 'O_Created', 'O_Returned', 'O_Refused']]"
16,BPI Challenge 2017 - Offer log.a6574f8f-cdb6-4142-b8c1-6ad5cf07ab9c.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (online only)'), (n6, 'O_Returned'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Accepted') ]
arcs: [ (n5, 'O_Sent (online only)')->n2, (n6, 'O_Returned')->n3, (n7, 'O_Create Offer')->n4, (n8, 'O_Created')->n1, n1->(n9, 'O_Accepted'), n2->(n6, 'O_Returned'), n3->(n9, 'O_Accepted'), n4->(n5, 'O_Sent (online only)') ], [], [])","[['O_Created', 'O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Sent (online only)', 'O_Created', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Created', 'O_Accepted']]"
17,BPI Challenge 2017 - Offer log.37bf01c3-bfbc-4496-b091-a1e23b2b5858.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Accepted'), (n6, 'O_Returned'), (n7, 'O_Sent (mail and online)'), (n8, 'O_Create Offer'), (n9, 'O_Created') ]
arcs: [ (n6, 'O_Returned')->n5, (n7, 'O_Sent (mail and online)')->n3, (n8, 'O_Create Offer')->n4, (n9, 'O_Created')->n1, (n9, 'O_Created')->n2, n1->(n6, 'O_Returned'), n2->(n7, 'O_Sent (mail and online)'), n3->(n10, 'O_Accepted'), n4->(n9, 'O_Created'), n5->(n10, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Sent (mail and online)', 'O_Accepted']]"
18,BPI Challenge 2017 - Offer log.1e6d9b51-6d8c-4468-b3dd-fd802347a7bd.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Accepted') ]
arcs: [ (n4, 'O_Returned')->n3, (n5, 'O_Create Offer')->n2, (n6, 'O_Created')->n1, n1->(n4, 'O_Returned'), n2->(n6, 'O_Created'), n3->(n7, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Returned', 'O_Accepted']]"
19,BPI Challenge 2017 - Offer log.aef385d2-6f8b-4636-ae12-f8e7961de6d5.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Returned'), (n4, 'O_Sent (mail and online)'), (n5, 'O_Create Offer') ]
arcs: [ (n4, 'O_Sent (mail and online)')->n1, (n5, 'O_Create Offer')->n2, n1->(n3, 'O_Returned'), n2->(n4, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Sent (mail and online)', 'O_Returned']]"
20,BPI Challenge 2017 - Offer log.da20f476-1bfe-4f83-8843-55719a336372.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Created'), (n8, 'O_Cancelled') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n2, (n6, 'O_Sent (mail and online)')->n3, (n7, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n5, 'O_Returned'), n3->(n8, 'O_Cancelled'), n4->(n8, 'O_Cancelled') ], [], [])","[['O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled']]"
21,BPI Challenge 2017 - Offer log.8ed40b76-9328-4036-8606-8805922a67be.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Sent (mail and online)'), (n6, 'O_Create Offer'), (n7, 'O_Refused') ]
arcs: [ (n5, 'O_Sent (mail and online)')->n1, (n5, 'O_Sent (mail and online)')->n2, (n6, 'O_Create Offer')->n3, n1->(n4, 'O_Returned'), n2->(n7, 'O_Refused'), n3->(n5, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Refused'], ['O_Create Offer', 'O_Sent (mail and online)', 'O_Refused', 'O_Returned']]"
22,BPI Challenge 2017 - Offer log.526800a6-639f-48e0-96e1-1db937cf30d0.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Cancelled') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n3, (n8, 'O_Created')->n1, n1->(n5, 'O_Returned'), n2->(n5, 'O_Returned'), n3->(n6, 'O_Sent (mail and online)'), n4->(n9, 'O_Cancelled') ], [], [])","[['O_Create Offer', 'O_Sent (mail and online)', 'O_Created', 'O_Returned', 'O_Cancelled'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled'], ['O_Created', 'O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Cancelled']]"
23,BPI Challenge 2017 - Offer log.cc92c24a-6fde-4d79-90cf-23f6dd8a2831.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Created'), (n6, 'O_Sent (online only)'), (n7, 'O_Returned'), (n8, 'O_Create Offer'), (n9, 'O_Refused') ]
arcs: [ (n10, 'O_Created')->n1, (n6, 'O_Sent (online only)')->n2, (n7, 'O_Returned')->n3, (n8, 'O_Create Offer')->n4, (n8, 'O_Create Offer')->n5, n1->(n6, 'O_Sent (online only)'), n2->(n7, 'O_Returned'), n3->(n9, 'O_Refused'), n4->(n10, 'O_Created'), n5->(n7, 'O_Returned') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Refused']]"
24,BPI Challenge 2017 - Offer log.f248b287-ae59-4973-8251-0e05b14dc9a2.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Sent (online only)'), (n4, 'O_Create Offer'), (n5, 'O_Accepted') ]
arcs: [ (n3, 'O_Sent (online only)')->n1, (n4, 'O_Create Offer')->n2, n1->(n5, 'O_Accepted'), n2->(n3, 'O_Sent (online only)') ], [], [])","[['O_Create Offer', 'O_Sent (online only)', 'O_Accepted']]"
25,BPI Challenge 2017 - Offer log.c79c9371-478b-4d3c-95c0-dbc8cc127f43.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (online only)'), (n5, 'O_Returned'), (n6, 'O_Create Offer'), (n7, 'O_Refused') ]
arcs: [ (n4, 'O_Sent (online only)')->n2, (n6, 'O_Create Offer')->n1, (n6, 'O_Create Offer')->n3, n1->(n7, 'O_Refused'), n2->(n5, 'O_Returned'), n3->(n4, 'O_Sent (online only)') ], [], [])","[['O_Create Offer', 'O_Sent (online only)', 'O_Refused', 'O_Returned'], ['O_Create Offer', 'O_Refused', 'O_Sent (online only)', 'O_Returned'], ['O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Refused']]"
26,BPI Challenge 2017 - Offer log.4f4116af-0083-49da-ace4-f52ea90617bf.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Sent (mail and online)'), (n4, 'O_Created'), (n5, 'O_Cancelled') ]
arcs: [ (n3, 'O_Sent (mail and online)')->n2, (n4, 'O_Created')->n1, n1->(n5, 'O_Cancelled'), n2->(n5, 'O_Cancelled') ], [], [])","[['O_Sent (mail and online)', 'O_Created', 'O_Cancelled'], ['O_Created', 'O_Sent (mail and online)', 'O_Cancelled']]"
27,BPI Challenge 2017 - Offer log.a54028c7-146e-4818-a345-5124d70451ef.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Created'), (n6, 'O_Returned'), (n7, 'O_Sent (mail and online)'), (n8, 'O_Create Offer'), (n9, 'O_Refused') ]
arcs: [ (n10, 'O_Created')->n1, (n6, 'O_Returned')->n3, (n7, 'O_Sent (mail and online)')->n2, (n8, 'O_Create Offer')->n4, (n8, 'O_Create Offer')->n5, n1->(n7, 'O_Sent (mail and online)'), n2->(n6, 'O_Returned'), n3->(n9, 'O_Refused'), n4->(n10, 'O_Created'), n5->(n7, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Refused']]"
28,BPI Challenge 2017 - Offer log.e3cbb1e5-c367-4dfd-8793-694ea9c632ba.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (online only)'), (n6, 'O_Returned'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Accepted') ]
arcs: [ (n5, 'O_Sent (online only)')->n2, (n6, 'O_Returned')->n3, (n7, 'O_Create Offer')->n4, (n8, 'O_Created')->n1, n1->(n5, 'O_Sent (online only)'), n2->(n6, 'O_Returned'), n3->(n9, 'O_Accepted'), n4->(n5, 'O_Sent (online only)') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Accepted'], ['O_Created', 'O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Accepted']]"
29,BPI Challenge 2017 - Offer log.87b56821-36d5-4cbe-b13c-862b33424ec6.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Accepted') ]
arcs: [ (n5, 'O_Returned')->n4, (n7, 'O_Create Offer')->n3, (n8, 'O_Created')->n1, (n8, 'O_Created')->n2, n1->(n5, 'O_Returned'), n2->(n6, 'O_Sent (mail and online)'), n3->(n8, 'O_Created'), n4->(n9, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Accepted', 'O_Sent (mail and online)'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Sent (mail and online)', 'O_Accepted']]"
30,BPI Challenge 2017 - Offer log.9029cdca-c312-4b0e-be5d-f852219b13fd.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Accepted') ]
arcs: [ (n4, 'O_Returned')->n3, (n5, 'O_Create Offer')->n2, (n6, 'O_Created')->n1, n1->(n4, 'O_Returned'), n2->(n4, 'O_Returned'), n3->(n7, 'O_Accepted') ], [], [])","[['O_Created', 'O_Create Offer', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Accepted']]"
31,BPI Challenge 2017 - Offer log.bae4475d-f323-448c-97f4-8a12b913a42f.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Accepted'), (n6, 'O_Returned'), (n7, 'O_Sent (mail and online)'), (n8, 'O_Create Offer'), (n9, 'O_Created') ]
arcs: [ (n6, 'O_Returned')->n5, (n7, 'O_Sent (mail and online)')->n2, (n8, 'O_Create Offer')->n3, (n8, 'O_Create Offer')->n4, (n9, 'O_Created')->n1, n1->(n7, 'O_Sent (mail and online)'), n2->(n10, 'O_Accepted'), n3->(n9, 'O_Created'), n4->(n6, 'O_Returned'), n5->(n10, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Sent (mail and online)', 'O_Accepted'], ['O_Create Offer', 'O_Returned', 'O_Created', 'O_Sent (mail and online)', 'O_Accepted']]"
32,BPI Challenge 2017 - Offer log.26a0cd62-c99c-43fc-9de0-eb4036eadb9b.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Refused'), (n9, 'O_Created') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n3, (n9, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n5, 'O_Returned'), n3->(n8, 'O_Refused'), n4->(n8, 'O_Refused') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Refused'], ['O_Created', 'O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Refused'], ['O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Create Offer', 'O_Refused'], ['O_Created', 'O_Sent (mail and online)', 'O_Create Offer', 'O_Returned', 'O_Refused']]"
33,BPI Challenge 2017 - Offer log.91b908b3-7d52-4b93-831e-2e9ec78ec473.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (online only)'), (n6, 'O_Returned'), (n7, 'O_Create Offer'), (n8, 'O_Cancelled') ]
arcs: [ (n5, 'O_Sent (online only)')->n1, (n6, 'O_Returned')->n3, (n7, 'O_Create Offer')->n2, (n7, 'O_Create Offer')->n4, n1->(n6, 'O_Returned'), n2->(n6, 'O_Returned'), n3->(n8, 'O_Cancelled'), n4->(n5, 'O_Sent (online only)') ], [], [])","[['O_Create Offer', 'O_Sent (online only)', 'O_Returned', 'O_Cancelled']]"
34,BPI Challenge 2017 - Offer log.5e9fb4b5-a5a1-4fdd-988f-f67cbecee262.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Returned'), (n4, 'O_Create Offer'), (n5, 'O_Created') ]
arcs: [ (n4, 'O_Create Offer')->n2, (n5, 'O_Created')->n1, n1->(n3, 'O_Returned'), n2->(n5, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Returned']]"
35,BPI Challenge 2017 - Offer log.99d69eee-2353-4b41-b726-1a204b9cea90.pnml,"(places: [ n1, n2 ]
transitions: [ (n3, 'O_Returned'), (n4, 'O_Sent (mail and online)'), (n5, 'O_Cancelled') ]
arcs: [ (n3, 'O_Returned')->n2, (n4, 'O_Sent (mail and online)')->n1, n1->(n3, 'O_Returned'), n2->(n5, 'O_Cancelled') ], [], [])","[['O_Sent (mail and online)', 'O_Returned', 'O_Cancelled']]"
36,BPI Challenge 2017 - Offer log.7a7312ae-aa88-42a7-8363-1beed09d730f.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (online only)'), (n6, 'O_Returned'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Accepted') ]
arcs: [ (n5, 'O_Sent (online only)')->n3, (n6, 'O_Returned')->n4, (n7, 'O_Create Offer')->n2, (n8, 'O_Created')->n1, n1->(n5, 'O_Sent (online only)'), n2->(n8, 'O_Created'), n3->(n9, 'O_Accepted'), n4->(n9, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Returned', 'O_Created', 'O_Sent (online only)', 'O_Accepted'], ['O_Returned', 'O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Sent (online only)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Sent (online only)', 'O_Accepted']]"
