,Nets,Labels
25,BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,17
26,BPI_Challenge_2012.94b5033c-8ea2-4093-8061-8a128c05c252.pnml,3
27,BPI_Challenge_2012.420e6f2f-c72a-45ed-847b-2fae6303034e.pnml,19
28,BPI_Challenge_2012.f75500b7-06db-4fb0-8cce-afb9189d5402.pnml,0
29,BPI_Challenge_2012.c8a738c7-a15e-475c-83db-e5f782ce8d0e.pnml,11
30,BPI_Challenge_2012.9c259212-6496-4770-9fd6-15d75a764d96.pnml,4
31,BPI_Challenge_2012.a169bda7-f582-4589-919f-927bc53322df.pnml,8
32,BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,17
33,BPI_Challenge_2012.dcaae451-0d80-45e1-a21f-580a09d87397.pnml,6
34,BPI_Challenge_2012.0064a212-a5ed-4a12-947a-b4ee3d1b4564.pnml,4
35,BPI_Challenge_2012.cd76a7f0-e1d5-4042-bd92-7cc6e89c4757.pnml,6
36,BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,7
37,BPI_Challenge_2012.3304a063-1c03-4fa7-b8b3-34737579e674.pnml,1
38,BPI_Challenge_2012.3b50dd9f-e80d-4031-8242-42e7ea704a81.pnml,23
39,BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,10
40,BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,8
41,BPI_Challenge_2012.98b2528d-c5ae-456e-8fbe-2f880487c632.pnml,23
42,BPI_Challenge_2012.1fba2b4d-0560-4d2c-a1c6-0eba6a4f177c.pnml,1
43,BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,15
44,BPI_Challenge_2012.fba096f9-bb46-4110-bf70-92d2150b2835.pnml,1
45,BPI_Challenge_2012.f31e8d0a-4a24-405e-b7ab-b9a6353a15c2.pnml,16
46,BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,17
47,BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,17
48,BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,2
49,BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,12
50,BPI_Challenge_2012.420f65f1-c007-48db-a393-0975c4a9a589.pnml,6
51,BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,3
52,BPI_Challenge_2012.3aaa7e17-b984-4cf8-9301-a1d2b46ee1fa.pnml,9
53,BPI_Challenge_2012.966a8360-77db-4cd8-bf1d-bf5cf7cb1f4c.pnml,0
54,BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,12
55,BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,2
56,BPI_Challenge_2012.5477599c-71a1-43ec-9eaf-530c9d37429f.pnml,20
57,BPI_Challenge_2012.7c928206-afc8-425a-9694-4facad47a1ad.pnml,13
58,BPI_Challenge_2012.2dd224a2-1c9d-41fc-b77f-fdc8b2d288c6.pnml,1
59,BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,7
60,BPI_Challenge_2012.a8e2053f-f7f0-41b0-840b-8fb83e1a2a70.pnml,3
61,BPI_Challenge_2012.11fbb10c-0881-415e-8674-8907bc2de899.pnml,1
62,BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,8
63,BPI_Challenge_2012.430b2104-4320-44fd-9192-247d89797f8f.pnml,13
64,BPI_Challenge_2012.daff0008-2f9e-4487-a96a-370fa3a7835a.pnml,18
65,BPI_Challenge_2012.fc3d48a0-17da-4b37-93f1-59329737450e.pnml,8
66,BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,7
67,BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,2
68,BPI_Challenge_2012.5851cec6-79d9-48ee-bb59-83a1f180a338.pnml,0
69,BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,4
70,BPI_Challenge_2012.2bb9c72f-fc09-4417-9417-54dab403be22.pnml,18
71,BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,8
72,BPI_Challenge_2012.5fbd385b-aa68-4e9b-bd1a-eea17edc30f7.pnml,13
73,BPI_Challenge_2012.1e813ca7-6dab-419f-bf2b-2a00917fb07c.pnml,11
74,BPI_Challenge_2012.2792e49b-02b3-4958-9190-20c73d1c2fe5.pnml,2
75,BPI_Challenge_2012.5a14d014-04fe-479a-a0dc-e277c7ffd98c.pnml,9
76,BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,8
77,BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,7
78,BPI_Challenge_2012.9ed36524-63c3-4756-a096-fd28dd360e30.pnml,0
